ROW_ID,GENDER,WEALTH,LASTGIFT,AVGGIFT,DONOR,TOTAL
1,1,9,5,4.857142857,1,102
2,0,7,12,9.4,1,94
3,1,8,5,4.285714286,1,30
4,0,4,8,7.08,0,177
5,0,8,11,7.666666667,0,23
6,1,8,10,7.3,1,73
7,1,8,20,10.69230769,1,139
8,0,7,7,9.576923077,1,249
9,0,5,10,9,1,63
10,1,8,16,13,0,26
11,1,8,7,6,1,108
12,1,5,3,3.659090909,1,161
13,1,5,3,3.652173913,0,84
14,0,8,10,8,1,40
15,0,8,20,16.66666667,0,50
16,1,5,7,4.344827586,1,126
17,0,6,10,9.090909091,1,100
18,0,9,32,14.55555556,0,262
19,0,7,42,31.75,1,127
20,1,7,10,13.6,1,476
21,0,7,5,3.62962963,1,98
22,1,8,5,8.833333333,1,53
23,1,8,15,12.5,0,25
24,1,8,9,6.076923077,0,79
25,0,6,13,17.5,1,350
26,1,9,20,11.9,1,119
27,1,8,15,15,1,15
28,0,2,10,10.0625,1,161
29,1,8,15,8,0,32
30,1,4,15,13.46153846,1,175
31,0,2,14,8.454545455,0,186
32,1,4,20,9.444444444,1,85
33,0,8,10,5.166666667,1,31
34,1,8,10,3.590909091,0,79
35,0,8,10,8.75,0,35
36,1,8,10,5.944444444,0,107
37,1,8,5,4.722222222,1,85
38,0,8,13,13,0,39
39,1,8,10,5.6,0,28
40,0,8,10,10,0,40
41,1,8,2,2.260869565,1,52
42,0,8,13,11.75,0,47
43,0,8,16,13,1,26
44,1,0,5,6,1,90
45,0,8,12,10.66666667,0,32
46,0,5,11,9.727272727,0,107
47,0,0,25,12,1,204
48,0,8,10,6,1,42
49,0,8,20,14.8,1,74
50,1,1,6,4.344827586,1,126
51,0,5,15,13.71428571,1,288
52,1,8,5,6.5,0,39
53,0,8,13,11.71428571,1,82
54,1,3,15,11.66666667,0,35
55,1,9,15,8.2,0,82
56,1,5,7,6.461538462,0,84
57,0,3,5,4.7,1,94
58,1,7,15,9.55,1,191
59,1,1,15,8,1,88
60,1,8,6,7.6,1,38
61,0,8,12,11,1,66
62,1,4,11,9.3,1,93
63,1,8,15,15,0,15
64,0,8,15,13.4,0,67
65,0,8,50,16.33333333,0,98
66,0,9,10,11.5,0,115
67,1,1,5,6.5,0,91
68,1,8,7,7.333333333,1,22
69,1,8,25,14.38461539,1,187
70,0,8,7,6.857142857,0,48
71,1,8,14,10.3125,0,165
72,1,8,20,20,1,20
73,0,8,16,13,0,26
74,0,8,10,6.75,1,27
75,0,9,40,21.33333333,0,128
76,0,4,10,6.363636364,1,70
77,0,4,3,3.457142857,0,121
78,1,7,3,7.692307692,1,100
79,0,6,4,4.533333333,1,68
80,1,2,15,14.22222222,1,128
81,0,8,20,12.5,1,25
82,1,8,15,10,1,20
83,1,8,37,23,0,92
84,0,5,6,4.217391304,1,194
85,1,8,10,8.166666667,0,49
86,1,8,8,7.7,0,77
87,1,8,30,30,1,30
88,1,8,10,7.75,0,31
89,1,8,15,10,0,70
90,1,1,11,7.3,0,146
91,1,8,25,14,0,28
92,0,8,3,4.9,1,98
93,1,3,10,10.81818182,1,119
94,0,3,5,4.714285714,0,66
95,1,3,7,7.136363636,1,157
96,1,8,35,22.5,0,45
97,0,5,13,11.5,1,276
98,1,8,10,9.1,0,182
99,1,1,20,14,0,154
100,1,8,30,30,0,30
101,1,5,10,9.428571429,1,132
102,1,8,3,3.307692308,0,43
103,1,8,16,12,0,48
104,0,8,16,13,0,26
105,0,8,12,9,0,63
106,1,8,20,20,1,40
107,0,8,25,25,0,25
108,0,8,7,6,0,30
109,0,8,20,15,1,30
110,1,8,15,5.201612903,0,161.25
111,1,7,10,4.285714286,1,120
112,0,8,10,8.75,1,35
113,0,8,13,11.4,0,114
114,0,8,22,10.81818182,1,119
115,0,0,5,4.434782609,1,102
116,0,4,13,12.33333333,0,370
117,1,5,10,9.0625,1,145
118,0,9,7,6.181818182,1,204
119,0,5,15,13.38888889,1,241
120,1,0,50,25.33333333,0,304
121,0,8,19,12.2,1,61
122,1,8,10,5.111111111,1,46
123,1,8,6,4.857142857,0,34
124,1,8,20,20,1,20
125,1,0,50,30,0,150
126,1,8,16,12.5,1,50
127,1,5,10,6.4,0,64
128,1,8,5,3.7,0,37
129,0,8,11,8.230769231,0,214
130,0,8,25,25,0,25
131,1,8,20,10,0,70
132,1,6,6,7,0,140
133,1,9,10,6.266666667,1,94
134,0,8,12,11,0,44
135,0,8,15,10,0,20
136,0,8,20,20,1,20
137,1,4,16,12,0,36
138,1,8,8,7.25,0,29
139,0,8,10,8.8,0,44
140,1,1,5,5,0,205
141,1,8,21,20.2,0,101
142,0,8,6,5.181818182,1,114
143,0,2,12,8.333333333,1,50
144,0,6,11,9.6,0,48
145,1,8,15,12.5,1,50
146,1,3,6,5.666666667,1,119
147,1,7,35,23,0,115
148,0,8,20,20,1,20
149,1,9,20,15.75,0,189
150,1,8,5,5.055555556,1,91
151,1,8,7,6,0,36
152,0,5,4,6.764705882,0,115
153,1,8,5,7.625,0,183
154,0,8,6,3.722222222,1,67
155,0,7,5,5.12,1,128
156,0,4,10,5.403846154,1,140.5
157,1,8,5,3.727272727,1,41
158,0,8,5,5.666666667,1,68
159,1,5,5,4.076923077,0,159
160,0,9,10,6.098901099,1,555
161,0,8,12,8.666666667,1,104
162,0,8,22,21,0,42
163,0,3,9,6.411764706,0,109
164,0,5,6,6.166666667,1,74
165,1,8,8,7.2,0,36
166,0,8,10,9.222222222,0,83
167,1,8,16,13,0,26
168,0,8,15,10.09090909,1,111
169,1,8,25,22.5,0,90
170,1,8,15,10.42857143,0,73
171,1,3,5,6.473684211,0,123
172,1,4,5,3.613636364,1,159
173,0,1,10,6.919354839,1,214.5
174,1,0,13,10.07894737,0,383
175,0,5,5,4.151515152,0,137
176,0,7,15,10.57692308,1,275
177,1,8,20,20,1,20
178,0,8,6,5,0,70
179,0,6,10,11.5,0,184
180,0,3,10,8.4,0,126
181,1,4,12,6.846153846,1,89
182,0,9,4,3.380952381,0,71
183,1,9,7,3.857142857,1,81
184,1,5,10,7.764705882,0,132
185,0,4,5,5.071428571,1,213
186,0,8,12,11.33333333,1,34
187,0,6,8,7.176470588,0,122
188,1,8,16,13,0,26
189,0,8,20,20,1,20
190,0,1,15,9.142857143,0,64
191,1,3,5,4.473684211,1,85
192,0,8,15,6.552631579,0,124.5
193,0,8,20,15,0,30
194,1,8,7,8,1,64
195,1,2,5,8.888888889,0,80
196,1,8,10,6.3125,0,101
197,1,8,20,13.95652174,0,321
198,1,5,15,15.25,0,122
199,1,8,10,6.736842105,0,128
200,1,8,10,11.55555556,1,104
201,1,9,22,17.18181818,1,189
202,0,8,20,12.5,1,25
203,1,0,10,11.2,0,112
204,0,1,16,9.230769231,0,120
205,0,8,32,32.33333333,1,97
206,1,8,13,8.133333333,1,122
